	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	ErrorCorrelation_6_38vs7_35	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	ErrorCorrelation_38_6vs7_6	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	Final208_206	Final208_206_Int2SE	ExtraMetaData
AS3_1	AS3_1.FIN2	08/09/2013 (1) 01:03:40.00	08/09/2013 (1)	01:03:40.00	22.986	AS3_1.FIN2	2.082	0.018	0.14	0.2003	0.0015	0.0091	0.60126	4.992511	0.226819	0.07579	0.00053	0.0031	0.32656	0.06166	0.00061	no value	NAN	no value	NAN	FILENAME: AS3_1.FIN2
AS3_2	AS3_2.FIN2	08/09/2013 (1) 01:05:01.00	08/09/2013 (1)	01:05:01.00	22.985	AS3_2.FIN2	2.097	0.029	0.14	0.2026	0.0020	0.0093	0.51963	4.935834	0.2265709	0.07521	0.00091	0.0032	0.19739	0.06045	0.00082	no value	NAN	no value	NAN	FILENAME: AS3_2.FIN2
AS3_3	AS3_3.FIN2	08/09/2013 (1) 01:06:21.00	08/09/2013 (1)	01:06:21.00	22.986	AS3_3.FIN2	2.027	0.022	0.13	0.1938	0.0015	0.0087	0.52983	5.159959	0.231639	0.07567	0.00076	0.0032	0.1934	0.05845	0.00060	no value	NAN	no value	NAN	FILENAME: AS3_3.FIN2
AS3_4	AS3_4.FIN2	08/09/2013 (1) 01:07:42.00	08/09/2013 (1)	01:07:42.00	22.985	AS3_4.FIN2	2.344	0.037	0.15	0.2190	0.0022	0.010	0.69794	4.56621	0.2085027	0.07804	0.00087	0.0033	-0.080996	0.0727	0.0018	no value	NAN	no value	NAN	FILENAME: AS3_4.FIN2
AS3_5	AS3_8.FIN2	08/09/2013 (1) 01:27:58.00	08/09/2013 (1)	01:27:58.00	22.986	AS3_8.FIN2	2.192	0.025	0.14	0.2091	0.0018	0.0096	0.55155	4.782401	0.219565	0.07530	0.00069	0.0032	0.23318	0.06130	0.00070	no value	NAN	no value	NAN	FILENAME: AS3_8.FIN2
AS3_6	AS3_10.FIN2	08/09/2013 (1) 01:45:33.00	08/09/2013 (1)	01:45:33.00	22.986	AS3_10.FIN2	2.169	0.028	0.14	0.2020	0.0017	0.0092	0.61115	4.950495	0.2254681	0.07642	0.00078	0.0032	0.0939	0.0650	0.0012	no value	NAN	no value	NAN	FILENAME: AS3_10.FIN2
AS3_7	AS3_12.FIN2	08/09/2013 (1) 02:03:07.00	08/09/2013 (1)	02:03:07.00	22.986	AS3_12.FIN2	2.115	0.029	0.14	0.2024	0.0020	0.0093	0.5231	4.940711	0.2270189	0.07518	0.00083	0.0032	0.20709	0.06066	0.00071	no value	NAN	no value	NAN	FILENAME: AS3_12.FIN2
AS3_8	AS3_14.FIN2	08/09/2013 (1) 02:20:41.00	08/09/2013 (1)	02:20:41.00	22.985	AS3_14.FIN2	2.007	0.026	0.13	0.1919	0.0021	0.0089	0.5753	5.211047	0.2416796	0.07612	0.00088	0.0032	0.2927	0.06068	0.00071	no value	NAN	no value	NAN	FILENAME: AS3_14.FIN2
AS3_9	AS3_16.FIN2	08/09/2013 (1) 02:38:15.00	08/09/2013 (1)	02:38:15.00	22.986	AS3_16.FIN2	2.065	0.029	0.14	0.1969	0.0024	0.0092	0.84475	5.07872	0.2372993	0.07618	0.00059	0.0032	0.18629	0.06124	0.00060	no value	NAN	no value	NAN	FILENAME: AS3_16.FIN2
AS3_10	AS3_18.FIN2	08/09/2013 (1) 02:55:48.00	08/09/2013 (1)	02:55:48.00	22.985	AS3_18.FIN2	2.228	0.034	0.15	0.2083	0.0023	0.0096	0.46627	4.800768	0.2212548	0.0771	0.0011	0.0033	0.23226	0.0671	0.0012	no value	NAN	no value	NAN	FILENAME: AS3_18.FIN2
