	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	FinalAge206_238	FinalAge206_238_Int2SE	FinalAge206_238_Prop2SE	FinalAge207_235	FinalAge207_235_Int2SE	FinalAge207_235_Prop2SE	FinalAge208_232	FinalAge208_232_Int2SE	Final206_204	Final206_204_Int2SE	Final207_204	Final207_204_Int2SE	Final208_204	Final208_204_Int2SE	Approx_U_PPM	Approx_U_PPM_Int2SE	Approx_Th_PPM	Approx_Th_PPM_Int2SE	Approx_Pb_PPM	Approx_Pb_PPM_Int2SE	FInal_U_Th_Ratio	FInal_U_Th_Ratio_Int2SE	Final238_206	Final238_206_Int2SE	FinalAge207_206	FinalAge207_206_Int2SE	FinalDiscPercent	FinalDiscPercent_Int2SE	FinalAnd207_235	FinalAnd207_235_Int2SE	FinalAnd207_235_Prop2SE	FinalAnd206_238	FinalAnd206_238_Int2SE	FinalAnd206_238_Prop2SE	FinalAnd208_232	FinalAnd208_232_Int2SE	FinalAnd238_206	FinalAnd238_206_Int2SE	FinalAnd207_206	FinalAnd207_206_Int2SE	FinalAgeAnd207_206	FinalAgeAnd207_206_Int2SE	FinalAgeAnd207_235	FinalAgeAnd207_235_Int2SE	FinalAgeAnd207_235_Prop2SE	FinalAgeAnd206_238	FinalAgeAnd206_238_Int2SE	FinalAgeAnd206_238_Prop2SE	FinalAgeAnd208_232	FinalAgeAnd208_232_Int2SE	FinalFracCommonPb	FinalFracCommonPb_Int2SE	FinalFracLostPb	FinalFracLostPb_Int2SE	AndersenSolution	AndersenSolution_Int2SE	FinalPbC207_235	FinalPbC207_235_Int2SE	FinalPbC207_235_Prop2SE	FinalPbC206_238	FinalPbC206_238_Int2SE	FinalPbC206_238_Prop2SE	FinalPbC208_232	FinalPbC208_232_Int2SE	FinalPbC207_206	FinalPbC207_206_Int2SE	FinalPbC238_206	FinalPbC238_206_Int2SE	FinalAgePbC207_206	FinalAgePbC207_206_Int2SE	FinalAgePbC207_235	FinalAgePbC207_235_Int2SE	FinalAgePbC207_235_Prop2SE	FinalAgePbC206_238	FinalAgePbC206_238_Int2SE	FinalAgePbC206_238_Prop2SE	FinalAgePbC208_232	FinalAgePbC208_232_Int2SE	ExtraMetaData
AS3_1	AS3_1.FIN2	03/08/2012 (6) 21:48:19.24	03/08/2012 (6)	21:48:19.24	19.97	AS3_1.FIN2	1.962	0.033	0.044	0.1850	0.0023	0.0059		0.1723886	0.0768	0.0012	0.0019	no value	NAN	no value	NAN	1095	13	32	1104	11	14	no value	NAN	126	14	9.7	1.1	25.9	3.0	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.405405	0.067	1121	15	4.78	0.51	1.938	0.037	0.050	0.1847	0.0025	0.0063	no value	NAN	5.431	0.072	0.07603	0.00055	1096	14	1094	13	17	1092	14	34	no value	NAN	0.0022	0.0016	0.0022	0.0016	0.269	0.039	-2.03	0.27	0.36	0.1518	0.0027	0.0067	no value	NAN	-0.095	0.014	6.61	0.12	870	140	-290	260	350	912	15	38	no value	NAN	FILENAME: AS3_1.FIN2;
AS3_2	AS3_2.FIN2	03/08/2012 (6) 21:49:39.24	03/08/2012 (6)	21:49:39.24	19.97	AS3_2.FIN2	2.165	0.042	0.051	0.1889	0.0027	0.0060		0.1681463	0.0820	0.0011	0.0018	no value	NAN	no value	NAN	1115	15	33	1169	13	16	no value	NAN	220	41	18.0	3.5	32.3	6.4	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.293806	0.074	1246	16	4.87	0.51	2.017	0.045	0.055	0.1877	0.0028	0.0063	no value	NAN	5.356	0.080	0.07850	0.00070	1157	17	1118	15	18	1108	15	34	no value	NAN	0.0058	0.0014	0.0058	0.0014	0.263	0.039	-0.45	0.21	0.26	0.1669	0.0029	0.0064	no value	NAN	-0.0212	0.0096	6.04	0.10	890	260	180	130	160	994	16	36	no value	NAN	FILENAME: AS3_2.FIN2;
AS3_3	AS3_3.FIN2	03/08/2012 (6) 21:50:59.24	03/08/2012 (6)	21:50:59.24	19.97	AS3_3.FIN2	1.960	0.027	0.039	0.1859	0.0022	0.0058		0.1678299	0.07547	0.00067	0.0016	no value	NAN	no value	NAN	1100	12	31	1104.0	8.9	13	no value	NAN	409	88	31.0	6.8	88	20	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.379236	0.063	1089	10	2.94	0.34	1.963	0.034	0.050	0.1861	0.0023	0.0061	no value	NAN	5.381	0.065	0.07589	0.00044	1092	12	1104	12	17	1101	12	33	no value	NAN	0.00027	0.00064	0.00027	0.00064	0.392	0.032	0.787	0.090	0.13	0.1760	0.0021	0.0055	no value	NAN	0.0321	0.0036	5.694	0.069	507	93	556	57	84	1045	12	30	no value	NAN	FILENAME: AS3_3.FIN2;
AS3_4	AS3_4.FIN2	03/08/2012 (6) 21:52:20.24	03/08/2012 (6)	21:52:20.24	19.97	AS3_4.FIN2	1.945	0.032	0.043	0.1825	0.0025	0.0059		0.1771439	0.07650	0.00096	0.0017	no value	NAN	no value	NAN	1081	14	32	1096	11	15	no value	NAN	224	28	17.1	2.1	26.8	3.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.479452	0.076	1110	15	4.22	0.48	1.895	0.038	0.051	0.1818	0.0026	0.0062	no value	NAN	5.510	0.082	0.07530	0.00052	1075	14	1078	13	18	1076	14	34	no value	NAN	0.0031	0.0013	0.0031	0.0013	0.299	0.038	-0.28	0.16	0.21	0.1642	0.0026	0.0062	no value	NAN	-0.0127	0.0071	6.15	0.10	520	210	20	120	170	980	15	34	no value	NAN	FILENAME: AS3_4.FIN2;
AS3_5	AS3_6.FIN2	03/08/2012 (6) 22:09:40.24	03/08/2012 (6)	22:09:40.24	19.97	AS3_6.FIN2	1.966	0.022	0.036	0.1886	0.0018	0.0058		0.1630589	0.07615	0.00046	0.0015	no value	NAN	no value	NAN	1113.3	9.8	31	1105.0	7.2	12	no value	NAN	1560	390	118	30	510	120	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.302227	0.052	1099.2	5.8	2.18	0.24	1.957	0.025	0.041	0.1886	0.0019	0.0059	no value	NAN	5.307	0.052	0.07610	0.00026	1098.5	6.9	1099.5	8.6	14	1115	10	32	no value	NAN	0.0	1.0	0.0	1.0	0.5	1.0	1.537	0.040	0.066	0.1850	0.0018	0.0058	no value	NAN	0.0606	0.0013	5.416	0.055	667	41	943	16	27	1094.0	9.9	32	no value	NAN	FILENAME: AS3_6.FIN2;
AS3_6	AS3_8.FIN2	03/08/2012 (6) 22:27:01.24	03/08/2012 (6)	22:27:01.24	19.97	AS3_8.FIN2	1.888	0.032	0.043	0.1827	0.0022	0.0060		0.1797522	0.0766	0.0010	0.0018	no value	NAN	no value	NAN	1082	12	33	1077	11	15	no value	NAN	216	35	16.6	2.7	39.1	6.4	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.473454	0.067	1127	15	3.85	0.40	1.902	0.036	0.048	0.1827	0.0023	0.0063	no value	NAN	5.462	0.071	0.07659	0.00052	1109	14	1080	13	17	1082	13	35	no value	NAN	-0.0006	0.0012	-0.0006	0.0012	0.320	0.037	-0.34	0.18	0.24	0.1639	0.0026	0.0070	no value	NAN	-0.0147	0.0084	6.12	0.10	700	210	60	150	200	979	14	38	no value	NAN	FILENAME: AS3_8.FIN2;
AS3_7	AS3_10.FIN2	03/08/2012 (6) 22:44:22.24	03/08/2012 (6)	22:44:22.24	19.97	AS3_10.FIN2	1.914	0.030	0.041	0.1795	0.0023	0.0058		0.180011	0.07639	0.00077	0.0017	no value	NAN	no value	NAN	1064	13	32	1086	10	14	no value	NAN	370	85	28.2	6.8	78	19	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.571031	0.072	1107	12	3.68	0.38	1.879	0.032	0.045	0.1791	0.0024	0.0060	no value	NAN	5.602	0.074	0.07537	0.00046	1079	12	1074	12	16	1062	13	33	no value	NAN	0.00226	0.00091	0.00226	0.00091	0.362	0.035	0.59	0.11	0.15	0.1689	0.0024	0.0060	no value	NAN	0.0259	0.0046	5.956	0.086	690	140	460	73	100	1005	13	33	no value	NAN	FILENAME: AS3_10.FIN2;
AS3_8	AS3_12.FIN2	03/08/2012 (6) 23:01:42.24	03/08/2012 (6)	23:01:42.24	19.97	AS3_12.FIN2	1.858	0.028	0.040	0.1752	0.0020	0.0057		0.1856978	0.07523	0.00082	0.0017	no value	NAN	no value	NAN	1042	11	32	1065.4	9.7	14	no value	NAN	390	110	29.0	8.0	74	22	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.707763	0.065	1079	13	3.58	0.39	1.787	0.029	0.042	0.1749	0.0021	0.0059	no value	NAN	5.732	0.069	0.07432	0.00044	1049	12	1041	11	15	1039	12	33	no value	NAN	0.00268	0.00096	0.00268	0.00096	0.350	0.036	0.61	0.11	0.16	0.1646	0.0023	0.0065	no value	NAN	0.0248	0.0046	6.071	0.087	469	86	403	79	110	983	13	37	no value	NAN	FILENAME: AS3_12.FIN2;
AS3_9	AS3_14.FIN2	03/08/2012 (6) 23:19:03.24	03/08/2012 (6)	23:19:03.24	19.97	AS3_14.FIN2	1.960	0.026	0.039	0.1892	0.0025	0.0060		0.1676135	0.07602	0.00054	0.0016	no value	NAN	no value	NAN	1118	14	33	1101.1	9.1	13	no value	NAN	1290	170	98	13	344	46	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.285412	0.070	1095.6	8.3	2.75	0.31	1.983	0.036	0.053	0.1895	0.0026	0.0062	no value	NAN	5.292	0.072	0.07661	0.00042	1113	11	1108	12	18	1118	14	34	no value	NAN	-0.00071	0.00053	-0.00071	0.00053	0.5	1.0	1.554	0.042	0.063	0.1856	0.0025	0.0060	no value	NAN	0.0618	0.0014	5.388	0.072	702	39	953	17	26	1099	14	33	no value	NAN	FILENAME: AS3_14.FIN2;
AS3_10	AS3_16.FIN2	03/08/2012 (6) 23:36:24.24	03/08/2012 (6)	23:36:24.24	19.97	AS3_16.FIN2	1.933	0.028	0.040	0.1878	0.0023	0.0060		0.1701218	0.07569	0.00086	0.0017	no value	NAN	no value	NAN	1109	12	32	1093	10	14	no value	NAN	360	84	27.6	6.4	79	20	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.324814	0.066	1095	13	4.00	0.46	1.973	0.036	0.051	0.1880	0.0025	0.0064	no value	NAN	5.305	0.069	0.07637	0.00051	1105	13	1106	12	18	1112	13	35	no value	NAN	-0.0029	0.0011	-0.0029	0.0011	0.311	0.038	0.64	0.12	0.17	0.1759	0.0022	0.0058	no value	NAN	0.0264	0.0049	5.677	0.069	670	100	447	80	110	1045	12	31	no value	NAN	FILENAME: AS3_16.FIN2;
