Analysis#,208Pb_232Th,1s,206Pb_238U,1s,207Pb_235U,1s,207Pb_206Pb,1s,U(ppm),1s,Pb204(ppm),1s,206Pb_204Pb,1s,207Pb_204Pb,1s,208Pb_204Pb,1s,232Th_204Pb,1s,238U_204Pb,1s,Final_U_Th_Ratio,1s,232Th_238U,1s,Dezirteer_template
61-1,-1,-1,0.0607,0.0012,0.4558,0.0107,0.0585,0.0029,332,3.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-2,-1,-1,0.0586,0.0012,0.4213,0.0195,0.0558,0.0042,211,2.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-3,-1,-1,0.0584,0.0011,0.4314,0.0107,0.0582,0.0038,181,1.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-4,-1,-1,0.0603,0.0012,0.4433,0.0117,0.0581,0.0024,163,1.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-5,-1,-1,0.0581,0.0011,0.425,0.0114,0.0519,0.0054,263,2.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-6,-1,-1,0.0561,0.0011,0.4034,0.0121,0.061,0.0038,140,1.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-7,-1,-1,0.0576,0.0011,0.4219,0.0106,0.0538,0.003,228,2.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-9,-1,-1,0.0511,0.0011,0.3801,0.0145,0.0544,0.0092,332,3.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-10,-1,-1,0.0574,0.0011,0.425,0.0123,0.0599,0.0033,138,1.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-11,-1,-1,0.0524,0.001,0.3846,0.0135,0.0569,0.0034,192,1.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-12,-1,-1,0.0538,0.001,0.399,0.0095,0.0571,0.003,403,4.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-13,-1,-1,0.0488,0.0009,0.3615,0.0092,0.1015,0.0037,329,3.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-14,-1,-1,0.0549,0.0011,0.4092,0.0095,0.0551,0.003,313,3.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-15,-1,-1,0.0556,0.0011,0.4017,0.0108,0.0534,0.0034,391,3.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-16,-1,-1,0.0511,0.001,0.3754,0.0097,0.0586,0.0065,238,2.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
61-18,-1,-1,0.0593,0.0011,0.4298,0.0108,0.0522,0.0032,269,2.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24-3,-1,-1,0.0553,0.0011,0.3977,0.0131,0.0522,0.0014,301,3.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24-12,-1,-1,0.0568,0.0011,0.4222,0.0132,0.054,0.0014,378,3.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24-5,-1,-1,0.0587,0.0011,0.4247,0.0133,0.0525,0.0013,294,2.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24-10,-1,-1,0.0589,0.0011,0.4374,0.0103,0.0539,0.0008,382,3.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
24-4,-1,-1,0.0586,0.0012,0.3857,0.0234,0.0479,0.0027,210,2.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
